"","x"
"1951",-1.544
"1952",-1.012
"1953",-0.496
"1954",-0.682
"1955",-0.472
"1956",-2.722
"1957",-1.172
"1958",0.05
"1959",-0.002
"1960",0.356
"1961",0.328
"1962",-1.68
"1963",-0.472
"1964",-0.846
"1965",-0.936
"1966",-0.534
"1967",-0.61
"1968",-0.422
"1969",-0.884
"1970",0.78
"1971",-1.418
"1972",-1.806
"1973",-0.266
"1974",-1.268
"1975",-0.35
"1976",-1.528
"1977",1.19
"1978",0.344
"1979",-0.422
"1980",0.472
"1981",0.662
"1982",0.44
"1983",0.764
"1984",1.438
"1985",0.862
"1986",0.908
"1987",1.854
"1988",1.266
"1989",-0.65
"1990",-0.456
"1991",-1.574
"1992",0.308
"1993",0.492
"1994",0.982
"1995",-0.606
"1996",0.446
"1997",0.244
"1998",1.238
"1999",-0.454
"2000",-1.244
"2001",0.266
"2002",-0.598
"2003",1.792
"2004",0.474
"2005",0.362
"2006",0.088
"2007",-0.078
"2008",-0.828
"2009",-1.332
"2010",0.354
"2011",-0.894
"2012",-1.48
"2013",-0.452
"2014",0.226
"2015",2.196
"2016",1.51
"2017",1.052
"2018",0.334
