"","X","GOASAB","GOAPOP","GOAPOLL","GOAATF","SITK_HERR","TANNER","SIDE.SHRIMP","CAPELIN","P.SHRIMP","COD","CHUM","PINK","COHO","SOCKEYE","GOAROCK","year"
"1",1965,0.076986929,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.725373152,-0.620946815,-0.985629865,-1.687615341,-0.15997095,1965
"2",1966,0.694020661,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.101847391,-2.794951147,-1.571144816,-1.256359314,-0.115567765,1966
"3",1967,-0.23687994,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.575101916,-0.48627608,-0.435674738,-1.496585898,-0.146409757,1967
"4",1968,-1.085747156,NA,NA,NA,-0.519058405,NA,NA,NA,NA,NA,-0.523944227,-1.102507208,-2.344552832,-0.759744503,-0.018599093,1968
"5",1969,-1.085747156,NA,-1.310461306,-1.423837681,-0.613027102,NA,NA,NA,NA,NA,-0.674765029,-0.900652783,-1.448627571,-1.591679552,0.01472175,1969
"6",1970,0.865220772,NA,-0.215869009,-2.733824881,0.084429451,NA,NA,NA,NA,NA,-1.21131316,-1.202060097,-1.454246553,-1.700184793,0.057674031,1970
"7",1971,0.952604162,NA,-0.084719701,-0.80935915,-0.66314374,NA,NA,NA,NA,NA,-1.886374099,-1.698961472,-1.028317666,-1.911884039,-0.090353025,1971
"8",1972,-1.085747156,NA,1.085535658,0.446607959,-0.592145169,-0.884664918,0.471431046,0.721041052,1.184292043,-1.967715486,-2.248536003,-2.294742098,-1.784571465,-2.083426133,-0.282576217,1972
"9",1973,-0.55074681,NA,-0.669847381,-1.173994762,-0.729965925,-1.226279581,0.180658575,1.492393807,1.475205877,-1.247272305,-1.50341933,-2.436463381,-1.211517622,-2.715322247,-0.017843916,1973
"10",1974,0.611987275,NA,-0.662281075,-2.105841326,-0.500264665,-1.701187626,0.350478223,0.978952342,1.684234875,-1.562213413,-1.158066075,-1.941916107,-2.450757985,-1.113312245,-0.066050998,1974
"11",1975,-1.264080604,-2.463510657,0.84341386,-1.525125351,0.086517644,-1.25379372,0.026365596,2.151155539,1.49901092,-1.411858792,-1.409898903,-1.196382664,-1.660301286,-0.653116874,-0.019222915,1975
"12",1976,-0.950213735,0.485480113,1.186419741,-1.248272387,1.539900161,-0.972887249,1.909700014,2.219856405,1.37502028,-1.18912758,-1.567090882,-0.959632166,-1.500265503,-0.600274323,0.112323809,1976
"13",1977,1.797904708,-1.215706399,1.418453131,-0.924151842,0.268190459,-1.036092398,1.368021136,1.236034256,0.909736134,-0.726328955,-0.782645526,-0.318536228,-0.463317907,-1.195893624,0.129162827,1977
"14",1978,0.94368749,-1.600880704,2.048978648,-0.080087925,-0.635997228,-0.191769093,0.232554298,0.687342687,-0.097181032,-0.61063741,-0.23084957,-0.276592133,-0.38482917,-0.41156375,0.177293501,1978
"15",1979,0.037753571,-1.95395715,1.292348028,-0.086840437,-0.671496514,-1.504942138,0.482836284,2.265895724,0.588395479,-0.707544808,-0.112130949,-0.087027845,-0.535145743,-0.263281872,0.03541769,1979
"16",1980,1.373471101,-0.453382254,0.649212001,-0.701318968,1.22667117,1.101286927,-0.146804961,1.294375013,-0.576284163,0.354185501,-0.475022529,-0.046558402,-0.256320987,0.333922519,0.13076878,1980
"17",1981,0.786754055,-1.211694167,0.664344613,-0.093592948,0.449863273,1.0010669,0.398399335,1.120834977,0.045599245,0.230153935,-0.065566941,-0.002038916,0.690525338,0.473913593,0.218671126,1981
"18",1982,1.277171038,-1.091327197,0.301161915,0.176507506,-0.556645884,-0.161954192,-0.515672806,0.998299485,-0.861683208,0.33632748,-0.320777624,-0.030164763,0.05729474,0.270134661,-0.106444714,1982
"19",1983,-2.16466452,-0.156477061,0.444921733,0.696450879,0.458216046,0.723387742,-1.028240908,1.09653655,-1.588452219,1.015409151,0.082719928,0.16327338,0.276720597,0.38141843,0.130600313,1983
"20",1984,0.833120751,0.682079498,1.466373071,0.973303844,1.947097849,1.343901396,-0.950061317,0.898688896,-1.338119989,0.945597646,-0.277354362,0.473313631,0.881176634,0.561673794,-0.018186366,1984
"21",1985,0.640520627,0.224685011,0.164968403,-0.140860527,-0.01162744,0.708267694,-1.081084979,0.568297538,-1.587874436,0.449752407,0.187084544,0.270947767,0.968274176,1.04102309,0.001383738,1985
"22",1986,-0.481196765,1.275889884,-0.841350322,0.135992438,-1.851325712,0.940535982,-1.103710167,0.709334665,-1.627090283,0.763853183,-1.155330522,-0.352830231,-0.193606588,0.632183913,0.021232294,1986
"23",1987,-0.46336342,0.802446468,0.250719874,0.770728503,-1.822091006,0.303340707,-1.071649962,-0.334333478,-1.810711583,0.175631975,-0.684297883,-0.286225902,0.130850288,0.528892952,0.02403137,1987
"24",1988,-0.30821332,0.461406719,1.201552353,0.122487415,1.775866,-1.314511622,-1.08522149,-0.139495643,-1.999334947,-1.347718583,-0.383362257,0.559475392,0.252685181,0.897263777,0.02158515,1988
"25",1989,0.974004176,-0.962935762,0.815670737,-0.107097971,-1.554802267,-0.503709321,-0.730812077,-0.007806333,-0.417356433,0.575252618,-0.194553689,0.425056271,0.779921064,0.854479221,-0.209386335,1989
"26",1990,-2.560564776,-0.529614669,-0.215869009,0.60191572,-2.864099448,-0.873936068,-1.347445325,-0.478689214,-1.908966682,-1.677642894,0.322861635,0.909901717,0.955655193,1.459757946,0.037061453,1990
"27",1991,0.877704114,-0.517577972,-0.568963298,0.163002483,-0.429266094,-1.276575638,-1.344369447,-0.873274393,-1.938146699,0.506389647,0.791985757,-0.04767893,1.198472243,1.217553667,-0.104615774,1991
"28",1992,-0.680930227,-0.32499082,-1.022941671,-0.6608039,1.113908733,-0.210486987,-0.186324601,-0.271816442,0.678900202,0.66618726,0.912480146,0.713970809,0.992666109,0.613499682,0.102523873,1992
"29",1993,-0.190513244,-0.758311912,-0.904402873,-0.471733583,0.466568819,0.846696694,-1.358349686,-0.871539569,0.022468082,1.680197303,1.214442196,0.763795529,1.836473804,0.804423927,0.0542403,1993
"30",1994,-0.099563185,0.722201821,0.528151101,-0.147613039,0.928059532,0.186862526,-1.35243381,-0.824956993,-0.644445573,1.555208044,0.837367565,0.908912309,1.142759353,1.107247581,0.032864767,1994
"31",1995,0.660137306,0.818495397,-0.261266846,-0.431218515,0.735945751,-1.087908115,-0.453201983,-0.496055449,0.393091839,-0.622087563,1.091975047,0.565149379,0.781826152,0.896749902,-0.023227846,1995
"32",1996,-1.486997415,-0.100305809,-1.106171039,0.203517551,-0.475206346,1.865717497,-1.128710524,-1.005644648,0.718699953,1.95453001,1.229451852,0.189349472,-0.158064593,0.221812051,0.103149139,1996
"33",1997,1.029287545,0.25678287,-1.15661308,0.777481015,0.253573106,-0.654342407,-1.358349686,-0.008590405,-0.184615044,1.798360919,1.485828128,0.650023173,0.537213374,0.955293749,-0.054701066,1997
"34",1998,0.695803996,1.488538198,-0.932145996,0.763975992,0.506244491,1.176131875,-0.110293113,-0.670569914,0.351550002,0.547952115,0.715360176,1.070870244,0.729658941,0.134782866,0.078327071,1998
"35",1999,0.155453647,0.613871548,0.482753264,2.344063645,0.088605837,-0.460300516,-1.358349686,-1.039898054,-0.763296886,1.306418832,0.858082574,0.236328179,0.324495376,0.168015691,-0.149992072,1999
"36",2000,1.309271059,1.287926581,0.576071041,0.615420743,1.391638439,-0.791393937,-1.358349686,-1.039898054,-0.029695446,1.215273782,0.97705237,0.905092803,0.793271267,-0.011140224,0.153170892,2000
"37",2001,-0.227963268,0.284868496,-1.696342923,0.642430788,-0.395855002,0.255492659,0.819841632,0.550426838,0.884272657,-0.902984563,0.859798345,0.430337668,0.886152141,0.661538927,0.000812173,2001
"38",2002,0.458620509,0.878678883,-1.779572291,0.453360471,0.105311383,-0.937222775,0.065876554,-0.882505084,0.443555896,-1.356607032,0.155950459,0.869448384,0.369166423,0.835111718,0.153027494,2002
"39",2003,-0.202996585,-0.786397539,-1.908199496,0.635678277,0.414363988,1.100460723,1.282148471,-0.753876701,0.359445559,-0.931513457,1.125323448,0.597840321,0.826893156,0.782910673,0.152459239,2003
"40",2004,0.228570361,0.144440364,-0.76568726,1.0070664,0.758915877,0.847016493,0.89527112,-0.315978378,0.462724371,-0.761907549,0.751827148,1.193272986,0.648078011,0.080936598,0.037080166,2004
"41",2005,-0.008613126,-0.004012232,0.402045998,1.479742194,1.01576365,1.142850166,0.776356008,-0.574521496,0.406071365,-0.373773711,0.920054344,0.184880214,0.422335789,0.598713774,0.044516388,2005
"42",2006,0.185770333,1.865688038,0.394479692,0.021199745,0.719240205,-0.255835308,1.176749605,-0.937866001,0.581524584,-0.339535199,0.887729064,1.043678009,0.061301783,-0.168408726,-0.037877096,2006
"43",2007,0.082336933,0.694116195,0.613902572,0.878768685,0.633624281,0.288121778,0.886629525,-0.587047058,0.119706455,-0.030851153,0.918007164,0.366410311,0.406100259,-0.060280319,-0.079314409,2007
"44",2008,0.685103989,1.271877652,-0.147772253,-0.45822856,-0.358267523,0.225223175,0.846695163,-0.849977132,0.27669589,-0.049330203,0.776367082,0.53096385,0.378708944,-0.07808142,0.021313044,2008
"45",2009,-0.593546838,-0.373137608,-1.073383712,-0.91064682,-0.865698488,0.670979061,0.962115465,-0.933439814,0.311753219,0.328786792,1.081232799,0.673883213,0.378031593,0.926650937,NA,2009
"46",2010,0.055586915,0.244746173,0.200277832,0.338567778,0.370511929,0.630269843,0.762981634,-0.904637685,0.161410033,-0.130309019,1.117768673,0.770689658,0.063723643,0.58467322,NA,2010
"47",2011,-2.560564776,NA,-1.295328694,1.986180544,-1.229044117,2.251061371,0.430853142,-0.630078662,0.071571992,0.261724973,0.073887965,0.088359886,-0.209629605,0.507096991,NA,2011
"48",2012,NA,NA,1.58743397,NA,NA,1.13341841,0.635837427,-0.872647149,0.316730889,0.094737673,0.89298361,1.597307065,1.056775992,0.43466503,NA,2012
"49",2013,NA,NA,NA,NA,NA,0.100989004,1.184378038,-0.968193194,0.60509907,0.062969312,NA,0.524969676,1.080148301,0.791814318,NA,2013
"50",2014,NA,NA,NA,NA,NA,-0.217562072,1.919013898,-0.702308017,0.785427596,0.198487993,NA,1.405644074,0.169166629,NA,NA,2014
"51",2015,NA,NA,NA,NA,NA,-1.325722941,1.004244023,-1.013820816,0.661060115,0.923571128,NA,NA,NA,NA,NA,2015
