"","year","SCChydro.8080.r_o2","SCChydro.8080.r_salinity","SCChydro.8080.r_sigma","SCChydro.8080.r_temp","SCChydro.9330.r_o2","SCChydro.9330.r_salinity","SCChydro.9330.r_sigma","SCChydro.9330.r_temp"
"1","1951",4.62,33.425,25.74,9.91,1.91625,34.192625,26.51,8.835
"2","1952",3.635,33.58,25.795,10.28,1.856875,34.1484375,26.51125,8.610625
"3","1953",4.21,33.4165,25.87,9.045,1.668235294,34.23447059,26.51176471,9.034117647
"4","1954",NA,NA,NA,NA,NA,34.20369231,26.47846154,9.092307692
"5","1955",4.18,33.46,25.89,9.12,1.745,34.15666667,26.49833333,8.718333333
"6","1956",4.81,33.41575,25.815,9.3725,2.094,34.1862,26.474,9.026
"7","1957",4.265,33.475,25.875,9.285,1.506,34.203,26.5,8.942
"8","1958",4.46,33.487,25.808,9.756,1.868,34.158,26.506,8.698
"9","1959",3.876,33.572,25.802,10.2,1.340714286,34.22515789,26.52210526,8.915263158
"10","1960",NA,NA,NA,NA,1.5584,34.18452,26.5156,8.7748
"11","1961",4.735,33.5295,25.74,10.36,1.778,34.17,26.444,9.134
"12","1962",3.805,33.6165,25.835,10.195,1.46,34.15628571,26.48714286,8.814285714
"13","1963",4.16,33.586,25.805,10.24,1.542857143,34.18714286,26.51857143,8.747142857
"14","1964",NA,NA,NA,NA,2.03,34.14566667,26.48833333,8.741666667
"15","1965",NA,NA,NA,NA,NA,NA,NA,NA
"16","1966",NA,NA,NA,NA,1.71875,34.2145,26.52,8.885
"17","1967",NA,NA,NA,NA,NA,NA,NA,NA
"18","1968",NA,NA,NA,NA,NA,NA,NA,NA
"19","1969",4.395,33.50333333,25.84,9.656666667,1.46125,34.23619048,26.49285714,9.164285714
"20","1970",NA,NA,NA,NA,NA,NA,NA,NA
"21","1971",NA,NA,NA,NA,NA,NA,NA,NA
"22","1972",4.61,33.5415,25.845,9.79,NA,34.20714286,26.49714286,9.004285714
"23","1973",NA,NA,NA,NA,NA,NA,NA,NA
"24","1974",NA,NA,NA,NA,NA,NA,NA,NA
"25","1975",NA,33.485,25.78,9.93,NA,34.16090909,26.51454545,8.645454545
"26","1976",NA,NA,NA,NA,NA,NA,NA,NA
"27","1977",NA,NA,NA,NA,NA,NA,NA,NA
"28","1978",4.378,33.4854,25.846,9.532,1.672307692,34.21546154,26.50461538,8.984615385
"29","1979",NA,NA,NA,NA,NA,NA,NA,NA
"30","1980",NA,NA,NA,NA,NA,NA,NA,NA
"31","1981",4.4,33.5486,25.802,10.092,1.67,34.16675,26.445,9.1425
"32","1982",NA,NA,NA,NA,NA,34.225,26.555,8.725
"33","1983",NA,NA,NA,NA,NA,NA,NA,NA
"34","1984",4.411428571,33.62757143,25.79428571,10.48,2.059791667,34.11026531,26.51877551,8.367346939
"35","1985",4.462,33.5484,25.776,10.246,2.032,34.1604,26.51,8.67
"36","1986",4.255,33.5315,25.855,9.695,1.665555556,34.18544444,26.50333333,8.837777778
"37","1987",4.45,33.4955,25.78,9.9775,1.884615385,34.15561538,26.47846154,8.859230769
"38","1988",NA,NA,NA,NA,1.818,34.1536,26.528,8.522
"39","1989",4.4025,33.53375,25.8075,9.97,1.85375,34.183875,26.49625,8.8875
"40","1990",4.625,33.4045,25.775,9.575,1.511666667,34.2325,26.51416667,9.014166667
"41","1991",NA,NA,NA,NA,NA,NA,NA,NA
"42","1992",4.39,33.3605,25.785,9.31,1.553333333,34.2345,26.515,9.028333333
"43","1993",4.126666667,33.444,25.82,9.503333333,1.655,34.20733333,26.52833333,8.805
"44","1994",3.79,33.55,25.88,9.63,1.925,34.1235,26.51,8.49
"45","1995",NA,NA,NA,NA,1.571666667,34.225,26.47666667,9.21
"46","1996",4.685,33.6285,25.735,10.845,1.607142857,34.19885714,26.51714286,8.831428571
"47","1997",4.38,33.478,25.81,9.72,1.614285714,34.20142857,26.48,9.087142857
"48","1998",3.91,33.627,25.83,10.29,1.43,34.23225,26.535,8.9025
"49","1999",3.98,33.658,25.82333333,10.46,1.612857143,34.16485714,26.53571429,8.538571429
"50","2000",4.485,33.513,25.8,9.94,1.674,34.1682,26.52,8.666
"51","2001",4.59,33.486,25.87,9.4,1.281428571,34.24485714,26.52714286,8.98
"52","2002",4.2725,33.529,25.785,10.0975,1.595,34.20266667,26.495,8.978333333
"53","2003",3.685,33.554,25.825,9.985,1.263076923,34.25169231,26.51,9.147692308
"54","2004",3.755,33.46,25.8,9.665,1.557142857,34.21642857,26.49285714,9.075714286
"55","2005",3.85,33.4505,25.7955,9.695,1.463333333,34.2165,26.51283333,8.961666667
"56","2006",4.375,33.4555,25.79,9.73,1.266,34.2627,26.51,9.189
"57","2007",3.666666667,33.629,25.87333333,10.02,1.413333333,34.22016667,26.53833333,8.8
"58","2008",4.7,33.568,25.726,10.65,1.16625,34.251875,26.49575,9.24875
"59","2009",4.67,33.344,25.722,9.64,1.335,34.21833333,26.52833333,8.881666667
"60","2010",4.65,33.377,25.82,9.19,1.193333333,34.269,26.48966667,9.37
"61","2011",4.14,33.473,25.816,9.68,1.096,34.2653,26.5184,9.176
"62","2012",4.2,33.507,25.8405,9.69,1.143,34.2572,26.4872,9.327
